<node>	<field>	<description>	<type>	<terms>	<pattern>	<maximum>	<minimum>	<options1>	<options2>	<options3>	<options4>	<options5>	<options6>	<options7>	<options8>
subject	cancerdeath	Indicator for a death of interest. From RERF 'base_mortality' table.	integer												
subject	city	The city in which a person was exposed to radiation (1- Hiroshima, 2- Nagasaki). From RERF 'id' table.	integer												
subject	col_dose	Radiation dose received by colon. From RERF 'base_mortality' table.	number												
subject	death_cause	The cause of death. From RERF 'icd_grp_fk' table.	string												
subject	death_df	death_df. From RERF 'deaths' table.	integer												
subject	death_dt	Death date. From RERF 'deaths' table.	string												
subject	death_icd	The ICD code for the cause of death. From RERF 'death_icd' table.	string												
subject	death_icd_grp	A grouping for the cause of death. From RERF 'death_icd' table.	integer												
subject	death_icd_rev	The revision number of the ICD code used. From RERF 'death_icd' table.	integer												
subject	death_icd_sgrp	A grouping for the cause of death. From RERF 'death_icd' table.	integer												
subject	death_res	death_res. From RERF 'death_icd' table.	integer												
subject	dose_organ	dose_organ. From RERF 'dosetype_fk' table.	string												
subject	ds02cal	ds02cal. From RERF 'dose_masterlist' table.	integer												
subject	ds02cat	ds02cat. From RERF 'dose_masterlist' table.	integer												
subject	ds86cal	ds86cal. From RERF 'dose_masterlist' table.	integer												
subject	entry_dt	Entry date (DDmonYYYY, e.g., 21dec1912). From RERF 'lss_master' table.	string												
subject	expcity	The city of exposure. From RERF 'dose_masterlist' table.	integer												
subject	expstatus02	expstatus02. From RERF 'dose_masterlist' table.	integer												
subject	expstatus86	expstatus86. From RERF 'dose_masterlist' table.	integer												
subject	fup	"Indicates vital status at last follow-up (""1"" or ""3"" is alive; ""2"" indicates dead). From RERF 'mort_fup' table."	integer												
subject	gdist	Ground distance (meters). From RERF 'dose_masterlist' table.	integer												
subject	index_date	The reference or anchor date used during date obfuscation, where a single date is obscurred by creating one or more date ranges in relation to this date.	enum					Diagnosis | First Patient Visit | Infection | Study Enrollment 							
subject	last_dt	Last contact date (DDmonYYYY). From RERF 'mort_fup' table.	string												
subject	machi	Location. From RERF 'summ_dx_fix' table.	integer												
subject	nic	Not in City. From RERF 'base_mortality' table.	integer												
subject	ordinate	ordinate. From RERF 'dose_masterlist' table.	integer												
subject	prish	prish. From RERF 'dose_masterlist' table.	integer												
subject	res	res. From RERF 'summ_dx_fix' table.	integer												
subject	s_death	s_death. From RERF 'summ_dx_fix' table.	integer												
subject	sc	sc (1, 2, 3, 4, 5). From RERF 'lss_master' table.	integer												
subject	sdist	sdist. From RERF 'dose_masterlist' table.	integer												
subject	sealevel02	sealevel02. From RERF 'dose_masterlist' table.	number												
subject	sealevel86	sealevel86. From RERF 'dose_masterlist' table.	integer												
subject	sex	The sex of a person (1- Male, 2- Female). From RERF 'id' table.	integer												
subject	shloc	shloc. From RERF 'dose_masterlist' table.	integer												
subject	survangle	survangle. From RERF 'dose_masterlist' table.	integer												
subject	sysid	A unique identifier for an individual person in a study. From RERF 'id' table.	integer												
subject	t65cal	t65cal. From RERF 'dose_masterlist' table.	integer												
pathology_slide	body_part_examined	What part of the body was studied.	string												
pathology_slide	data_category		enum	_terms.yaml#/data_category				Pathology Slide 							
pathology_slide	data_format		enum	_terms.yaml#/data_format				DCM | GIF | JPEG | PNG | SVS | TIFF 							
pathology_slide	data_type		enum	_terms.yaml#/data_type				Pathology Slide 							
pathology_slide	days_to_image	Days from the case index date to the date the image was acquired.	integer												
pathology_slide	imaging_instrument	The instrument model used to acquire the image.	string												
pathology_slide	magnification	Magnification used to capture the image.	number												
pathology_slide	manufacturer	Manufacturer of the study equipment.	string												
pathology_slide	modality	What mode the imaging instrument was in during image acquisition.	string												
pathology_slide	patient_id	Scrambled patient identifier.	string												
pathology_slide	patient_sex	Patient's gender.	string												
pathology_slide	scan_id	The identification number for a stack of images generated during a single scan.	string												
pathology_slide	series_description	Specifics of a given study.	string												
pathology_slide	series_instance_uid	Unique identifier of a series.	string												
pathology_slide	series_number	Number of serial studies.	number												
pathology_slide	sop_class_uid	Classification of image storage.	string												
pathology_slide	study_date			_definitions.yaml#/datetime											
pathology_slide	study_description	Type of the study and a studied body part.	string												
pathology_slide	study_id	Identifier of a study.	number												
pathology_slide	study_instance_uid	Unique identifier of a study.	string												
base_mortality	age_in	Age at entry date (entry_dt). From RERF 'base_mortality' table.	number												
base_mortality	age_out	Age at last follow-up, age at death, or age at end of study. From RERF 'base_mortality' table.	number												
base_mortality	cancerdeath	Indicator for a death of interest. From RERF 'base_mortality' table.	integer												
base_mortality	col_dose	Radiation dose received by colon. From RERF 'base_mortality' table.	number												
base_mortality	nic	Not in City. From RERF 'base_mortality' table.	integer												
core_metadata_collection	contributor	An entity responsible for making contributions to the resource. Examples of a Contributor include a person, an organization, or a service. Typically, the name of a Contributor should be used to indicate the entity.	string												
core_metadata_collection	coverage	The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant. Spatial topic and spatial applicability may be a named place or a location specified by its geographic coordinates. Temporal topic may be a named period, date, or date range. A jurisdiction may be a named administrative entity or a geographic place to which the resource applies. Recommended best practice is to use a controlled vocabulary such as the Thesaurus of Geographic Names [TGN] (http-//www.getty.edu/research/tools/vocabulary/tgn/index.html). Where appropriate, named places or time periods can be used in preference to numeric identifiers such as sets of coordinates or date ranges.	string												
core_metadata_collection	creator	An entity primarily responsible for making the resource. Examples of a Creator include a person, an organization, or a service. Typically, the name of a Creator should be used to indicate the entity.	string												
core_metadata_collection	data_type	The nature or genre of the resource. Recommended best practice is to use a controlled vocabulary such as the DCMI Type Vocabulary [DCMITYPE]. To describe the file format, physical medium, or dimensions of the resource, use the Format element.	string												
core_metadata_collection	date			_definitions.yaml#/datetime											
core_metadata_collection	description	An account of the resource. Description may include but is not limited to- an abstract, a table of contents, a graphical representation, or a free-text account of the resource.	string												
core_metadata_collection	format	The file format, physical medium, or dimensions of the resource. Examples of dimensions include size and duration. Recommended best practice is to use a controlled vocabulary such as the list of Internet Media Types [MIME] (http-//www.iana.org/assignments/media-types/).	string												
core_metadata_collection	language	A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 (http-//www.ietf.org/rfc/rfc4646.txt).	string												
core_metadata_collection	publisher	An entity responsible for making the resource available. Examples of a Publisher include a person, an organization, or a service. Typically, the name of a Publisher should be used to indicate the entity.	string												
core_metadata_collection	relation	A related resource. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system.	string												
core_metadata_collection	rights	Information about rights held in and over the resource. Typically, rights information includes a statement about various property rights associated with the resource, including intellectual property rights.	string												
core_metadata_collection	source	A related resource from which the described resource is derived. The described resource may be derived from the related resource in whole or in part. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system.	string												
core_metadata_collection	subject	The topic of the resource. Typically, the subject will be represented using keywords, key phrases, or classification codes. Recommended best practice is to use a controlled vocabulary.	string												
core_metadata_collection	title	A name given to the resource. Typically, a Title will be a name by which the resource is formally known.	string												
